Date,Outcomes,Predominant function of establishment,Establishment,Adjudicator,Sex,Age group,Ethnicity,Religion,Offence,,Count
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,,3
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,e White,a Christian,Wilful Damage,,3
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,e White,b Muslim,Other offences,,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,e White,b Muslim,Wilful Damage,,2
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,e White,i No religion,Unauthorised transactions,,3
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,e White,i No religion,Violence,,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,40 - 49,e White,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,40 - 49,e White,i No religion,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,40 - 49,e White,i No religion,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,50 - 59,e White,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,50 - 59,e White,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,50 - 59,e White,e Buddhist,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,70 and over,e White,g Other religious groups,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,i No religion,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,25 - 29,e White,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,25 - 29,e White,a Christian,Other offences,,1
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,i No religion,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,40 - 49,d Other ethnic group,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,40 - 49,e White,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,40 - 49,e White,a Christian,Unauthorised transactions,,5
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,40 - 49,e White,f Jewish,Unauthorised transactions,,2
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,40 - 49,e White,f Jewish,Wilful Damage,,1
Q1,Dismissed,Category A (High Security),Full Sutton,Independent adjudicator,M,30 - 39,e White,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Long Lartin,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Long Lartin,Governor,M,25 - 29,e White,a Christian,Wilful Damage,,1
Q1,Dismissed,Category A (High Security),Long Lartin,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Long Lartin,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,,2
Q1,Dismissed,Category A (High Security),Long Lartin,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,18 - 20,e White,i No religion,Disobedience/disrespect,,2
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Violence,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,,2
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,21 - 24,e White,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,21 - 24,e White,a Christian,Violence,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,21 - 24,e White,i No religion,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,e Buddhist,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,c Mixed/ Multiple ethnic groups,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,e White,a Christian,Other offences,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,e White,a Christian,Violence,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,e White,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,e White,b Muslim,Violence,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,e White,f Jewish,Violence,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,a Asian or Asian British,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,,2
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,,6
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,,3
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,a Christian,Violence,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,a Christian,Violence,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,a Christian,Violence,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,i No religion,Unauthorised transactions,,2
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,i No religion,Violence,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,40 - 49,e White,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,40 - 49,e White,a Christian,Violence,,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,50 - 59,e White,i No religion,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Manchester,Independent adjudicator,M,25 - 29,e White,a Christian,Other offences,,1
Q1,Dismissed,Category A (High Security),Manchester,Independent adjudicator,M,40 - 49,e White,i No religion,Other offences,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,21 - 24,e White,e Buddhist,Other offences,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,a Asian or Asian British,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,a Asian or Asian British,b Muslim,Violence,,2
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,a Asian or Asian British,b Muslim,Violence,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,a Asian or Asian British,b Muslim,Violence,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,,3
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,c Mixed/ Multiple ethnic groups,b Muslim,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,a Christian,Violence,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,a Christian,Violence,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,b Muslim,Other offences,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,f Jewish,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,i No religion,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,i No religion,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,a Asian or Asian British,b Muslim,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,a Asian or Asian British,b Muslim,Other offences,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,a Asian or Asian British,b Muslim,Violence,,3
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,,2
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Other offences,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,a Christian,Other offences,,2
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,a Christian,Violence,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,b Muslim,Violence,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,b Muslim,Violence,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,g Other religious groups,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,i No religion,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,i No religion,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,i No religion,Violence,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,a Asian or Asian British,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,c Mixed/ Multiple ethnic groups,e Buddhist,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,c Mixed/ Multiple ethnic groups,f Jewish,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,a Christian,Disobedience/disrespect,,2
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,a Christian,Other offences,,2
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,a Christian,Unauthorised transactions,,2
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,a Christian,Violence,,2
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,g Other religious groups,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,g Other religious groups,Violence,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,i No religion,Other offences,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,i No religion,Unauthorised transactions,,2
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,50 - 59,e White,a Christian,Disobedience/disrespect,,3
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,60 - 69,c Mixed/ Multiple ethnic groups,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,60 - 69,e White,i No religion,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,70 and over,e White,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Other offences,,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,21 - 24,c Mixed/ Multiple ethnic groups,f Jewish,Violence,,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,25 - 29,c Mixed/ Multiple ethnic groups,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,25 - 29,c Mixed/ Multiple ethnic groups,b Muslim,Violence,,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,25 - 29,d Other ethnic group,b Muslim,Violence,,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,30 - 39,a Asian or Asian British,b Muslim,Violence,,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,b Muslim,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,30 - 39,e White,a Christian,Violence,,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,30 - 39,e White,a Christian,Wilful Damage,,5
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,40 - 49,e White,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,50 - 59,a Asian or Asian British,e Buddhist,Violence,,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,50 - 59,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,50 - 59,e White,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,21 - 24,c Mixed/ Multiple ethnic groups,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,21 - 24,e White,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,25 - 29,c Mixed/ Multiple ethnic groups,b Muslim,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,25 - 29,e White,i No religion,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,a Christian,Other offences,,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,,2
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,e White,a Christian,Wilful Damage,,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,e White,b Muslim,Wilful Damage,,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,e White,e Buddhist,Wilful Damage,,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,40 - 49,e White,a Christian,Wilful Damage,,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,40 - 49,e White,e Buddhist,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,40 - 49,e White,g Other religious groups,Unauthorised transactions,,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,50 - 59,e White,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category B,Dovegate,Governor,M,21 - 24,a Asian or Asian British,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category B,Dovegate,Governor,M,21 - 24,a Asian or Asian British,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category B,Dovegate,Governor,M,21 - 24,e White,b Muslim,Violence,,1
Q1,Dismissed,Category B,Dovegate,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,a Christian,Other offences,,1
Q1,Dismissed,Category B,Dovegate,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,,1
Q1,Dismissed,Category B,Dovegate,Governor,M,25 - 29,e White,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category B,Dovegate,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,g Other religious groups,Violence,,1
Q1,Dismissed,Category B,Dovegate,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,i No religion,Disobedience/disrespect,,1
Q1,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,,2
Q1,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,,5
Q1,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,,3
Q1,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,b Muslim,Other offences,,1
Q1,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,i No religion,Wilful Damage,,1
Q1,Dismissed,Category B,Dovegate,Governor,M,40 - 49,a Asian or Asian British,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category B,Dovegate,Governor,M,40 - 49,e White,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category B,Dovegate,Governor,M,40 - 49,e White,a Christian,Other offences,,1
Q1,Dismissed,Category B,Dovegate,Governor,M,50 - 59,a Asian or Asian British,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category B,Dovegate,Governor,M,50 - 59,e White,i No religion,Unauthorised transactions,,1
Q1,Dismissed,Category B,Dovegate,Governor,M,60 - 69,e White,i No religion,Unauthorised transactions,,1
Q1,Dismissed,Category B,Garth,Governor,M,21 - 24,c Mixed/ Multiple ethnic groups,b Muslim,Disobedience/disrespect,,1
Q1,Dismissed,Category B,Garth,Governor,M,21 - 24,e White,a Christian,Disobedience/disrespect,,1
Q1,Dismissed,Category B,Garth,Governor,M,21 - 24,e White,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category B,Garth,Governor,M,21 - 24,e White,a Christian,Violence,,1
Q1,Dismissed,Category B,Garth,Governor,M,21 - 24,e White,i No religion,Unauthorised transactions,,1
Q1,Dismissed,Category B,Garth,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category B,Garth,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,,1
Q1,Dismissed,Category B,Garth,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,,1
Q1,Dismissed,Category B,Garth,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category B,Garth,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,,1
Q1,Dismissed,Category B,Garth,Governor,M,25 - 29,e White,a Christian,Other offences,,1
Q1,Dismissed,Category B,Garth,Governor,M,25 - 29,e White,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category B,Garth,Governor,M,25 - 29,e White,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category B,Garth,Governor,M,25 - 29,e White,a Christian,Violence,,1
Q1,Dismissed,Category B,Garth,Governor,M,25 - 29,e White,a Christian,Wilful Damage,,1
Q1,Dismissed,Category B,Garth,Governor,M,25 - 29,e White,i No religion,Other offences,,1
Q1,Dismissed,Category B,Garth,Governor,M,25 - 29,e White,i No religion,Unauthorised transactions,,1
Q1,Dismissed,Category B,Garth,Governor,M,25 - 29,e White,i No religion,Unauthorised transactions,,1
Q1,Dismissed,Category B,Garth,Governor,M,25 - 29,e White,i No religion,Violence,,1
Q1,Dismissed,Category B,Garth,Governor,M,25 - 29,e White,i No religion,Violence,,1
Q1,Dismissed,Category B,Garth,Governor,M,25 - 29,e White,i No religion,Wilful Damage,,1
Q1,Dismissed,Category B,Garth,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,a Christian,Violence,,1
Q1,Dismissed,Category B,Garth,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,,1
Q1,Dismissed,Category B,Garth,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,,1
Q1,Dismissed,Category B,Garth,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Wilful Damage,,1
Q1,Dismissed,Category B,Garth,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,a Christian,Unauthorised transactions,,1
Q1,Dismissed,Category B,Garth,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,a Christian,Wilful Damage,,1
Q1,Dismissed,Category B,Garth,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,b Muslim,Disobedience/disrespect,,1
Q1,Dismissed,Category B,Garth,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,i No religion,Disobedience/disrespect,,1
Q1,Dismissed,Category B,Garth,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,,3
Q1,Dismissed,Category B,Garth,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,,2
Q1,Dismissed,Category B,Garth,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,,4
Q1,Dismissed,Category B,Garth,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,,5
Q1,Dismissed,Category B,Garth,Governor,M,30 - 39,e White,a Christian,Violence,,1
Q1,Dismissed,Category B,Garth,Governor,M,30 - 39,e White,a Christian,Wilful Damage,,1
Q1,Dismissed,Category B,Garth,Governor,M,30 - 39,e White,b Muslim,Disobedience/disrespect,,1
Q1,Dismissed,Category B,Garth,Governor,M,30 - 39,e White,b Muslim,Disobedience/disrespect,,1
Q1,Dismissed,Category B,Garth,Governor,M,30 - 39,e White,b Muslim,Wilful Damage,,1
Q1,Dismissed,Category B,Garth,Governor,M,30 - 39,e White,e Buddhist,Disobedience/disrespect,,1
